,เงินทุนรวม,คนงานรวม,แรงม้า
623,2700000.0,6.0,90.0
624,12700000.0,5.0,59.0
625,2000000.0,8.0,67.6
626,5000000.0,7.0,110.0
627,600000.0,11.0,60.0
628,6050000.0,25.0,55.0
630,4000000.0,12.0,59.0
631,9000000.0,7.0,127.0
633,8000000.0,8.0,82.0
634,16000000.0,16.0,190.0
636,20000000.0,20.0,465.0
637,14080000.0,21.0,179.0
638,2500000.0,20.0,126.5
639,17000000.0,10.0,390.0
640,25000000.0,11.0,190.0
641,4200000.0,10.0,174.0
642,5851200.0,5.0,80.0
643,9000000.0,5.0,74.0
645,2100000.0,10.0,93.0
646,9700000.0,14.0,67.0
647,550000.0,9.0,65.0
648,2100000.0,9.0,190.0
649,3515000.0,16.0,210.0
650,1736000.0,16.0,213.0
651,3800000.0,8.0,76.0
652,14800000.0,16.0,165.0
654,5000000.0,9.0,180.0
655,7700000.0,15.0,195.5
656,23500000.0,9.0,307.0
657,2500000.0,6.0,98.0
658,6200000.0,20.0,70.0
660,2900000.0,8.0,82.0
661,1800000.0,10.0,89.0
662,12500000.0,10.0,67.0
664,11500000.0,14.0,97.0
665,2722000.0,20.0,163.0
666,1050000.0,10.0,89.0
667,12000000.0,10.0,278.4
668,14000000.0,11.0,284.2
669,15285385.0,8.0,50.0
670,6400000.0,14.0,97.0
671,10000000.0,10.0,93.0
672,10000000.0,8.0,100.0
673,29000000.0,4.0,76.0
674,9800000.0,10.0,80.0
675,14400000.0,8.0,140.0
676,10000000.0,4.0,260.0
677,3500000.0,9.0,185.0
678,9700000.0,14.0,67.0
679,12000000.0,14.0,280.0
680,1900000.0,9.0,165.0
681,14970000.0,11.0,404.8
682,6000000.0,12.0,497.18
683,24000000.0,6.0,231.0
684,28000000.0,9.0,284.83
685,8500000.0,8.0,290.0
686,13000000.0,5.0,119.0
687,22000000.0,5.0,144.5
689,8200000.0,8.0,165.6
690,4000000.0,20.0,250.02
691,14000000.0,20.0,545.0
692,8000000.0,5.0,79.8
693,4200000.0,8.0,100.0
694,28400000.0,19.0,296.4
695,1511760.0,5.0,356.44
696,3000000.0,10.0,421.02
697,8300000.0,10.0,197.28
698,10000000.0,11.0,230.0
699,9200000.0,15.0,210.5
700,2050000.0,10.0,85.0
701,4100000.0,7.0,326.0
702,4050000.0,9.0,74.0
703,11700000.0,26.0,84.0
704,17000000.0,12.0,345.82
705,31000000.0,12.0,163.0
706,7600000.0,14.0,167.75
707,4800000.0,9.0,165.0
708,3800000.0,17.0,546.0
709,1800000.0,4.0,185.0
710,19000000.0,16.0,237.0
711,15000000.0,10.0,120.0
712,4000000.0,5.0,50.0
713,24943000.0,17.0,608.92
714,1000000.0,12.0,235.75
715,12000000.0,8.0,350.0
716,14500000.0,27.0,293.15
717,11000000.0,8.0,225.0
718,20000000.0,8.0,225.0
719,1900000.0,4.0,92.0
720,7700000.0,10.0,158.0
721,11650000.0,25.0,283.62
722,7000000.0,10.0,230.0
723,17000000.0,19.0,185.0
724,6000000.0,11.0,125.0
725,9019515.0,22.0,200.0
726,2300000.0,20.0,125.0
727,7500000.0,11.0,260.0
728,8860000.0,15.0,83.0
729,5500000.0,8.0,170.0
730,2590000.0,21.0,99.0
731,1520000.0,7.0,155.0
732,17000000.0,10.0,225.0
733,6250000.0,8.0,91.0
734,6000000.0,10.0,82.0
735,5000000.0,6.0,70.0
736,1200000.0,14.0,213.87
737,4200000.0,11.0,54.75
738,7600000.0,7.0,125.0
739,1900000.0,7.0,61.0
740,410000.0,4.0,120.0
741,1550000.0,6.0,68.0
742,7500000.0,11.0,95.0
743,12000000.0,9.0,194.7
744,5500000.0,10.0,171.0
746,7700000.0,12.0,193.0
747,12500000.0,10.0,296.0
748,22000000.0,6.0,198.0
750,11000000.0,22.0,65.0
751,220000.0,4.0,120.0
752,2800000.0,10.0,125.0
754,1850000.0,8.0,95.0
755,3300000.0,5.0,60.0
756,5800000.0,10.0,120.0
757,7500000.0,11.0,65.0
758,16700000.0,12.0,250.0
759,5300000.0,16.0,286.9
760,2020000.0,13.0,90.63
761,10300000.0,3.0,15.2
762,7000000.0,7.0,89.21
763,6600000.0,7.0,161.0
764,7500000.0,8.0,92.5
765,9000000.0,17.0,137.0
766,3500000.0,4.0,86.0
767,20000000.0,10.0,235.0
769,9400000.0,16.0,140.0
770,15000000.0,20.0,295.0
772,31000000.0,11.0,270.0
773,2500000.0,10.0,195.0
774,5000000.0,12.0,50.0
775,14000000.0,10.0,89.0
776,16000000.0,11.0,59.0
777,3500000.0,4.0,90.0
778,3060000.0,10.0,59.0
779,5000000.0,15.0,57.0
780,14000000.0,15.0,356.48
781,15000000.0,19.0,55.0
782,10000000.0,15.0,145.0
783,10550000.0,8.0,89.0
784,4000000.0,15.0,91.0
785,6600000.0,7.0,161.0
786,21200000.0,5.0,72.5
788,7200000.0,8.0,83.0
789,2000000.0,8.0,450.0
790,5000000.0,8.0,97.0
791,2800000.0,10.0,87.0
792,1000000.0,13.0,55.0
793,11000000.0,9.0,217.0
794,3060000.0,13.0,83.0
795,2700000.0,9.0,280.0
796,22000000.0,13.0,372.0
797,3050000.0,8.0,59.0
798,20600000.0,15.0,81.0
799,3000000.0,15.0,200.0
800,3200000.0,15.0,214.0
801,5450000.0,11.0,80.0
802,3700000.0,7.0,80.0
803,3500000.0,12.0,80.0
804,20000000.0,25.0,195.0
805,20000000.0,25.0,245.0
807,11500000.0,18.0,98.0
808,13000000.0,18.0,80.0
809,30500000.0,13.0,164.0
810,3000000.0,10.0,75.0
811,5000000.0,10.0,574.0
812,3700000.0,15.0,91.0
813,13000000.0,18.0,80.0
814,4500000.0,8.0,92.5
815,9000000.0,20.0,160.0
816,10700000.0,7.0,80.0
817,13000000.0,10.0,137.0
818,3500000.0,10.0,84.0
819,8000000.0,7.0,435.0
820,15540000.0,7.0,350.0
821,5300000.0,8.0,514.0
822,2830000.0,4.0,95.0
823,1000000.0,10.0,121.0
824,20000000.0,20.0,230.0
825,3200000.0,13.0,514.0
826,7000000.0,13.0,284.34
827,8000000.0,9.0,320.0
828,10800000.0,14.0,655.0
829,6000000.0,8.0,345.0
830,2700000.0,8.0,117.0
831,7250000.0,10.0,114.0
832,14000000.0,19.0,86.0
833,20000000.0,10.0,518.44
834,2600000.0,26.0,280.0
835,4000000.0,9.0,286.5
836,1800000.0,20.0,90.0
837,3000000.0,3.0,250.0
839,2800000.0,15.0,684.0
840,6000000.0,4.0,328.5
841,15820000.0,5.0,438.0
842,4000000.0,8.0,226.0
843,14000000.0,12.0,227.0
844,24000000.0,11.0,476.0
845,3700000.0,13.0,388.5
846,12000000.0,16.0,122.0
847,940000.0,5.0,58.0
849,6000000.0,5.0,80.0
850,13500000.0,23.0,383.0
851,18000000.0,6.0,616.0
852,17000000.0,11.0,382.0
854,28000000.0,17.0,214.48
855,11000000.0,15.0,461.0
856,9600000.0,15.0,85.0
857,15590000.0,9.0,525.53
858,9000000.0,10.0,116.0
859,10000000.0,12.0,144.0
860,2250000.0,8.0,249.44
861,5764000.0,12.0,299.0
862,15000000.0,3.0,501.41
863,22000000.0,26.0,295.0
864,12500000.0,13.0,65.0
865,29000000.0,20.0,179.0
866,10500000.0,14.0,59.0
867,5000000.0,7.0,403.0
870,12100000.0,8.0,477.0
871,20709200.0,3.0,62.6
872,8800000.0,16.0,258.0
873,22000000.0,23.0,90.0
874,4100000.0,6.0,244.0
875,4420000.0,12.0,162.0
876,5100000.0,10.0,80.0
877,2350000.0,8.0,297.0
878,1250000.0,28.0,70.0
879,1750000.0,8.0,90.0
880,11500000.0,23.0,225.0
881,3900000.0,11.0,90.0
882,10000000.0,25.0,165.5
883,18000000.0,10.0,90.0
884,3150000.0,7.0,305.0
885,14000000.0,7.0,157.0
886,14000000.0,4.0,224.0
887,13000000.0,5.0,114.3
888,3350000.0,10.0,95.5
889,30745510.0,7.0,165.0
890,11200000.0,20.0,299.0
891,5200000.0,4.0,160.0
892,1200000.0,7.0,53.4
893,1720000.0,6.0,158.0
894,19000000.0,20.0,114.0
895,12500000.0,20.0,70.0
896,4700000.0,5.0,490.0
897,11000000.0,6.0,342.0
899,21150000.0,8.0,98.0
900,5000000.0,20.0,268.0
901,6000000.0,12.0,111.0
902,6000000.0,9.0,133.0
903,3150000.0,20.0,129.0
904,3000000.0,10.0,75.0
906,4000000.0,20.0,128.0
907,6000000.0,7.0,59.0
908,20000000.0,3.0,195.0
909,8000000.0,15.0,353.0
910,7000000.0,9.0,495.08
911,30000000.0,7.0,201.0
912,5000000.0,7.0,80.0
913,1100000.0,12.0,159.62
914,10500000.0,6.0,158.0
916,5000000.0,19.0,218.0
917,4020340.0,11.0,123.5
918,16000000.0,3.0,230.0
919,5200000.0,4.0,189.0
920,8714000.0,3.0,294.0
